Gmag,sigma
2.0,2.319860022143009
2.5,2.3198969847968915
3.0,2.3199555611398224
3.5,2.3200483845374813
4.0,2.320195464940168
4.5,2.3204284844144225
5.0,2.3207975765347792
5.5,2.321381999630716
6.0,2.3223068750331555
6.5,2.3237692751225523
7.0,2.326078488008175
7.5,2.329717206929094
8.0,2.3354322642095813
8.5,2.3443640500537435
9.0,2.358220125895247
9.5,2.3794867404239177
10.0,2.411651251879851
10.5,2.45939491703241
11.0,2.5287570892459232
11.5,2.6274176792571518
12.0,2.7654194675738353
12.5,2.9565852895807345
13.0,3.220407881763445
13.5,3.583654038378364
14.0,4.080986769443304
14.5,4.754760740941099
15.0,5.655087556369994
15.5,6.841362547148647
16.0,8.385749265792631
16.5,10.378573663010384
17.0,12.935746253196044
17.5,16.20905757128381
18.0,20.4012702132572
18.5,25.789489685345906
19.0,32.76280253814739
19.5,41.88450982986215
20.0,53.99715321291859
20.5,70.40257933827573
21.0,93.17152575849286
21.5,125.66601809375011
22.0,173.3894439541787
22.5,245.3190224598404
23.0,355.9532098948764
23.5,528.4712256679348
24.0,799.6885943198131
24.5,1227.91956130719
