Gmag,sigma
2.0,3.281082380784249
2.5,3.281312851845117
3.0,3.281677933235211
3.5,3.282256070389064
4.0,3.2831711595672175
4.5,3.284618488065011
5.0,3.2869048984831886
5.5,3.2905101352528816
6.0,3.2961785469942586
6.5,3.305051576924188
7.0,3.318849186612136
7.5,3.340098296432556
8.0,3.3723858464766874
8.5,3.4205939205655382
9.0,3.4910961332781385
9.5,3.592014734047254
10.0,3.733824118764667
10.5,3.9306382402503397
11.0,4.202272918146866
11.5,4.576720608870704
12.0,5.0922191012675775
12.5,5.798081147852659
13.0,6.75441776130017
13.5,8.032210094696115
14.0,9.715388778947585
14.5,11.90558435931339
15.0,14.729382641277269
15.5,18.34806593912331
16.0,22.97069837739408
16.5,28.872674511909633
17.0,36.42361651572873
17.5,46.131313677746036
18.0,58.713186462197804
18.5,75.21526010962606
19.0,97.21408725111739
19.5,127.16393899536048
20.0,168.99223441644816
20.5,229.09650756990018
21.0,317.9509956314815
21.5,452.6069751538953
22.0,660.5300672549853
22.5,985.5429619506823
23.0,1497.18071330767
23.5,2305.55430115434
24.0,3584.9935078747
24.5,5611.594062054973
